id_poslanec,adresa,latitude,longitude
1743,Vančurovo nám. 663; Hradec Králové; 50002,50,15
1744,Dobronická 1257; Praha 4 - Kunratice; 14800,50,14
1746,Dr. E. Beneše 1124; Bohumín; 73581,49,18
1747,Hradební 164; Prachatice; 38301,49,13
1748,Šilingrovo náměstí 257/3; Brno; 60200,49,16
1749,Malostranské nám. 266/5; Praha 1; 11800,50,14
1750,Pařížská 1290/5; Ústí nad Labem; 40001,50,14
1751,Lannova 16/13; České Budějovice; 37001,48,14
1752,Pernerova 2802/102; Pardubice; 53002,50,15
1753,Branišovská16/2; České Budějovice; 37005,48,14
1754,sady 5. května 304/44; Plzeň; 30100,49,13
1755,Komenského 23/7; Jablonec nad Nisou; 46601,50,15
1756,Dlouhá třída 473/23; Havířov - Město; 73601,49,18
1757,Vrchlického 582/18; Hradec Králové; 50002,50,15
1758,Komenského 1190/1; Žďár nad Sázavou; 59101,49,15
1759,Malostranské nám. 266/5; Praha 1; 11800,50,14
1760,Truhlářská 1106; Praha 1; 11000,50,14
1761,Vysoká 92; Rakovník; 26901,50,13
1762,Štefánikova 661; Zlín; 76001,49,17
1763,nám. Soukenné 613/3; Liberec; 46001,50,15
1764,Masarykovo náměstí 1294; Náchod; 54701,50,16
1765,Kynského 133; Slaný; 27401,50,14
1766,Americká 638/22; Plzeň; 30100,49,13
1767,Vavrečkova 7074; Zlín; 76001,49,17
1768,Šilingrovo náměstí 257/3; Brno; 60200,49,16
1769,Senovážné nám. 248; České Budějovice; 37001,48,14
1770,Koželužská 591/21; Olomouc - město; 77900,49,17
1771,Štefánikova 18/25; Praha 5 - Smíchov; 15000,50,14
1772,Sokolovská 514; Karlovy Vary; 36005,50,12
1773,U Radnice 956/8; Teplice; 41501,50,13
1774,28. října 3117/61; Ostrava - Moravská Ostrava; 70200,49,18
1775,Československé armády 254; Hradec Králové; 50003,50,15
1776,Mánesova 1080/3; Praha 2; 12000,50,14
1777,Dukelských hrdinů 1652; Kladno; 27201,50,14
1778,Brněnská 599/28; Jihlava; 58601,49,15
1779,Husova 327; Hořice; 50801,50,15
1780,Sukova 2324/4; Blansko; 67801,49,16
1781,tř. Míru 420; Pardubice - Zelené Předměstí; 53002,50,15
1782,Štefánikova 661; Zlín; 76001,49,17
1783,Náměstí 106/29; Valašské Meziříčí; 75701,49,17
1784,Husova 579; Kralupy nad Vltavou; 27801,50,14
1785,Určická 4220; Prostějov; 79601,49,17
1786,Na Roudné 437/31; Plzeň; 30100,49,13
1788,Koželužská 591/21; Olomouc-město; 77900,49,17
1789,Šilingrovo náměstí 257/3; Brno; 60200,49,16
1790,Floriána Nováka 5267/3; Prostějov; 79601,49,17
1791,Bratislavská 1444/10; Ústí nad Labem; 40001,50,14
1792,Truhlářská 1106; Praha 1; 11000,50,14
1793,Ve Skále 69; Čelákovice; 25088,50,14
1794,Jezuitská 14; Brno; 60200,49,16
1795,Duchcovská 827/6; Děčín; 40502,50,14
1796,28. října 1495; Frýdek-Místek; 73801,49,18
1797,Nábřeží 599; Zlín - Prštné; 76001,49,17
1798,Náměstí Svobody 527; Třinec; 73961,49,18
1799,Sladkovského 601; Pardubice; 53002,50,15
1800,tř. Míru 420; Pardubice - Zelené Předměstí; 53002,50,15
1801,Jezuitská 14; Brno; 60200,49,16
1802,Zámecká 21; Pardubice; 53002,50,15
1803,Velká 32/63; Hradec Králové; 50341,50,15
1804,Tyršova 202; Kolín; 28002,50,15
1805,Hradební 579; Kutná Hora; 28401,50,12
1806,náměstí Komenského 412; Dobříš; 26301,49,14
1807,Lannova 16/13; České Budějovice; 37001,48,14
1808,Solná 35/13; Opava; 74601,49,17
1809,Na Kozině 1438; Mladá Boleslav; 29301,50,14
1811,Vranovská 1570/61; Brno; 61400,49,16
1812,II. odboje 10; Vyškov; 68201,49,16
1813,Na Poříčí 116/5; Liberec 2; 46001,50,15
1814,Nerudova 1652; Roztoky; 25263,50,14
1815,Sokolská třída 1204; Ostrava; 70200,49,18
1816,nám. T. G. Masaryka 38/10; Břeclav; 69002,48,16
1817,Vranovská 1570/61; Brno; 61400,49,16
1818,Dlouhá 3355/6; Ostrava; 70200,49,18
1819,Nešverova 683/2; Olomouc; 77900,49,17
1820,Srázná 4837/19; Jihlava; 58601,49,15
1821,Masarykovo nám. 32; Chrudim; 53701,49,15
1822,Šilingrovo náměstí 257/3; Brno; 60200,49,16
1823,Masarykova 357/10; Teplice; 41501,50,13
1824,Lannova 205/16; České Budějovice; 37001,48,14
1825,Mezírka 775/504; Brno; 60200,49,16
1826,Petrohradská 893/34; Praha 10; 10100,50,14
1827,Husova 119; Kutná Hora; 28401,49,15
1828,Nešverova 683/2; Olomouc; 77900,49,17
1829,Radniční 23/1; Děčín 1; 40502,50,14
1830,Gotthardská 52/101; Praha 6 - Bubeneč; 16000,50,14
1831,Třída Míru 302; Pardubice; 53002,50,15
1832,Čajkovského 654/37; Jihlava; 58601,49,15
1833,Žižkova 15/1696; Jihlava; 58601,49,15
1834,Husovo nám. 90; Beroun; 26601,49,14
1835,Branišovská16/2; České Budějovice; 37005,48,14
1836,Zelený pruh 95/97; Praha 4 - Braník; 14000,50,14
1837,Klíšská 2058/33; Ústí nad Labem; 40001,50,14
1838,Jezuitská 14; Brno; 60200,49,16
1839,Senovážné nám. 248; České Budějovice; 37001,48,14
1840,U Poráků 511; Český Krumlov; 38101,48,14
1841,Hradiště 97/4; Ústí nad Labem; 40001,50,14
1842,Obrněné brigády 553/31; Cheb; 35002,50,12
1843,Havlíčkovo nám. 1963; Havlíčkův Brod; 58001,49,15
1844,Tyršova 105; Mělník; 27601,50,14
1845,Malostranské nám. 266/5; Praha 1; 11800,50,14
1846,Masarykovo náměstí 90; Kralovice; 33141,49,13
1848,Gočárova 504; Hradec Králové; 50002,50,15
1849,Chocholouškova 1629/7; Ostrava - Moravská Ostrava; 70200,49,18
1850,Brněnská 599/28; Jihlava; 58601,49,15
1851,Mírové náměstí 1/1; Ústí nad Labem; 40001,50,14
1852,Železná 159; Mladá Boleslav; 29301,50,14
1853,Náměstí Republiky 17; Plzeň; 30100,49,13
1854,Kosmonautů 1221/2a; Olomouc; 77900,49,17
1855,Masarykovo nám. 393/8; Hodonín; 69501,48,17
1856,Jáchymovská 371; Ostrov; 36301,50,12
1857,Gočárova 504; Hradec Králové; 50002,50,15
1858,Dlouhá 3355/6; Ostrava; 70200,49,18
1859,Na Moráni 360/3; Praha 2 - Nové Město; 12800,50,14
1860,26. dubna 583/14; Cheb; 35002,50,12
1861,Dolní náměstí 109; Olomouc; 77900,49,17
1862,Ivana Olbrachta 60; Kladno; 27201,50,14
1863,Zelený pruh 95/97; Praha 4 - Braník; 14000,50,14
1864,Svatoplukova 2482/53; Prostějov; 79601,49,17
1865,28. října 3117/61; Ostrava - Moravská Ostrava; 70200,49,18
1866,Sokolská třída 1204; Ostrava; 70200,49,18
1867,Kvítková 4323; Zlín; 76001,49,17
1868,nám. sv. Václava 60; Brandýs nad Labem; 25001,50,14
1869,Bělohorská 476; Plzeň - Severní Předměstí; 30100,49,13
1870,Komenského náměstí 141/5; Třebíč; 67401,49,15
1871,Karlovo nám. 317; Praha 2 - Nové Město; 12800,50,14
1872,28. října 924; Ostrava - Mariánské Hory; 70900,49,18
1873,Určická 4220; Prostějov; 79601,49,17
1874,"Vavrečkova 7074, budova 13, prostor č. 2.29; Zlín; 76001",49,17
1875,Škroupova 638; Plzeň; 30100,49,13
1876,Boženy Němcové 1808; Sokolov; 35601,50,12
1877,Dlouhá 194; Ostrava - Moravská Ostrava; 70200,49,18
1878,Komenského 939; Jablonec nad Nisou; 46601,50,15
1879,Opletalova 1603/57; Praha 1; 11000,50,14
1880,Františka Halase 845; Most; 43401,50,13
1881,Blahoslavova 186/II; Mladá Boleslav; 29301,50,14
1882,Karlovo nám. 317; Praha 2 - Nové Město; 12800,50,14
1883,U Černé věže 304; České Budějovice; 37001,48,14
1884,Tyršova 162; Benešov; 25601,49,14
1885,Nádražní 245; Švihov; 34012,49,13
1886,Československé armády 254; Hradec Králové; 50003,50,15
1887,Tyršova 47; Semily; 51301,50,15
1888,Charbulova 214/38; Brno - Černovice; 61800,49,16
1889,Mezírka 775/504; Brno; 60200,49,16
1890,Karlovo náměstí 89; Kolín I; 28002,50,15
1891,Chocholouškova 1629/7; Ostrava - Moravská Ostrava; 70200,49,18
1892,Stará 233; Krnov; 79401,50,17
1893,28. října 1113/16; Chomutov; 43001,50,13
1894,Na Moráni 360/3; Praha 2 - Nové Město; 12800,50,14
1895,Máchova 1476; Mladá Boleslav; 29301,50,14
1896,Osvoboditelů 1175; Louny; 44001,50,13
1897,Dolní 165; Žďár nad Sázavou; 59101,49,15
1898,nám. F. L. Věka 29; Dobruška; 51801,50,16
1899,nám. Míru 65; Klatovy; 33901,49,13
1900,Mezírka 775/1; Brno; 60200,49,16
1901,Vítkovická 3276/2A; Ostrava - Moravská Ostrava; 70200,49,18
1902,nám. Marie Poštové 854; Beroun; 26705,49,14
1903,Dlouhá třída 1462; Havířov; 73601,49,18
1904,Husova 2117; Benešov; 25601,49,14
1905,Nešverova 683/2; Olomouc; 77900,49,17
1906,Vančurovo nám. 663; Hradec Králové; 50002,50,15
1907,Horní náměstí 132/47; Opava; 74601,49,17
1908,Resslova 105/14; Nový Jíčín; 74101,49,18
1909,Náměstí 7/5; Valašské Meziříčí; 75701,49,17
1910,Truhlářská 1106; Praha 1; 11000,50,14
1911,Sladkovského 433; Pardubice; 53002,50,15
1912,Křenová 479/71; Brno; 60200,49,16
1913,Chocholouškova 1629/7; Ostrava - Moravská Ostrava; 70200,49,18
1914,Masarykovo nám. 1544; Pardubice; 53002,50,15
1916,Havlíčkova 1323/6; České Budějovice; 37001,48,14
1917,Palliardiho 1367; Znojmo; 66902,48,16
1918,Štefánikova 661; Zlín; 76001,49,17
1919,Sadová 1688/1; Hodonín; 69501,48,17
1920,Jeronýmova 1894; Tábor; 39002,49,14
1921,Klíšská 2058/33; Ústí nad Labem; 40001,50,14
1923,Vojanova 2471/2b; Brno; 61500,49,16
1924,Tyršova 162; Benešov; 25601,49,14
1925,Železná 251; Liberec; 46001,50,15
1926,Věžní 1274/16; Jihlava; 58601,49,15
1927,Malostranské nám. 266/5; Praha 1; 11800,50,14
1928,U Černé věže 304; České Budějovice; 37001,48,14
1929,Smetanovy sady 75; Plzeň; 30101,49,13
1930,nám. T. G. Masaryka 165; Česká Lípa; 47001,50,14
1931,Masarykovo náměstí 128; Kroměříž; 76701,49,17
1932,Na Jízdárně 2824/2; Ostrava - Moravská Ostrava; 70200,49,18
1933,Jateční 1746/22; Přerov; 75002,49,17
1934,Masarykovo nám. 1544; Pardubice; 53002,50,15
1935,Husova 443; Vyškov; 68201,49,16
1936,Zelený pruh 95/97; Praha 4 - Braník; 14000,50,14
1937,Truhlářská 1106; Praha 1; 11000,50,14
1938,Vranovská 1570/61; Brno; 61400,49,16
1939,Štefánikova 167; Zlín; 76030,49,17
1940,Opletalova 1603/57; Praha 1; 11000,50,14
1941,Truhlářská 1106; Praha 1; 11000,50,14
1942,Bělohorská 476; Plzeň - Severní Předměstí; 30100,49,13
1943,Kvítková 4323; Zlín; 76001,49,17
1944,nám. Soukenné 613/3; Liberec; 46001,50,15
