file_name,schema,table
hl2021h1.unl,hlasovani,hl_poslanec
hl2021s.unl,hlasovani,hl_hlasovani
hl2021v.unl,hlasovani,hl_vazby
hl2021x.unl,hlasovani,hl_zposlanec
omluvy.unl,hlasovani,omluvy
zmatecne.unl,hlasovani,zmatecne
li.unl,ustni_interpelace,los_interpelaci
p-stav.unl,ustni_interpelace,ui_stav
poradi.unl,ustni_interpelace,poradi
uitypv.unl,ustni_interpelace,uitypv
funkce.unl,poslanci_a_osoby,funkce
organy.unl,poslanci_a_osoby,organy
osoba_extra.unl,poslanci_a_osoby,osoba_extra
osoby.unl,poslanci_a_osoby,osoby
pkgps.unl,poslanci_a_osoby,pkgps
poslanec.unl,poslanci_a_osoby,poslanec
typ_funkce.unl,poslanci_a_osoby,typ_funkce
typ_organu.unl,poslanci_a_osoby,typ_organu
zarazeni.unl,poslanci_a_osoby,zarazeni
druh_predpisu.unl,sbirka_zakonu,druh_predpisu
sbirka.unl,sbirka_zakonu,sbirka
sb_pre.unl,sbirka_zakonu,sb_pre
bod_schuze.unl,schuze,bod_schuze
bod_stav.unl,schuze,bod_stav
schuze.unl,schuze,schuze
schuze_stav.unl,schuze,schuze_stav
sd_dokument.unl,snemovni_dokumenty,sd_dokument
psp2senat.unl,senatni_tisky,psp2senat
se_druh_tisku.unl,senatni_tisky,se_druh_tisku
se_tisk.unl,senatni_tisky,se_tisk
rec.unl,stenozaznamy,rec
steno.unl,stenozaznamy,steno
steno_bod.unl,stenozaznamy,steno_bod
druh_tisku.unl,snemovni_tisky,druh_tisku
hist.unl,snemovni_tisky,hist
hist_vybory.unl,snemovni_tisky,hist_vybory
prechody.unl,snemovni_tisky,prechody
predkladatel.unl,snemovni_tisky,predkladatel
stavy.unl,snemovni_tisky,stavy
tisky.unl,snemovni_tisky,tisky
tisky_za.unl,snemovni_tisky,tisky_za
typ_akce.unl,snemovni_tisky,typ_akce
typ_stavu.unl,snemovni_tisky,typ_stavu
typ_zakon.unl,snemovni_tisky,typ_zakon
vysledek.unl,snemovni_tisky,vysledek